Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
11;;2005-04-26;;70;On 12 May 2006, The Cambodian Ministry approved on the submitted master plan
17;;2008-01-24;;70;
20;;2009-09-25;;50;"Active Economic Land Concession by Ministry of Agriculture, Forestry and Fisheries

50 year-term plan as per https://opendevelopmentcambodia.net/profiles/economic-land-concessions?feature_id=elc_gdc_116"
23;;2001-04-20;2071-04-20;70;
27;;2000-10-26;;70;
29;;2009-09-25;;70;Active status in Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries
33;;2008-05-27;;;
35;;2008-12-08;;70;
36;;2009-03-18;;70;
39;;2009-10-12;;70;
40;;;;99;
42;;2005-05-18;;50;Active status of Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries in 2012
43;;2006-03-15;;70;
46;;2004-03-05;2074-03-05;70;
48;;2006-01-23;;70;
49;;2009-12-31;;70;
50;;2006-08-11;;70;
51;;2006-08-11;;70;
55;;2006-03-17;;70;
57;;2009-07-31;;70;
67;;2006-08-02;2076;70;
68;;2006-08-02;;90;according to the Ministry of Agriculture, Forestry and Fisheries, the contract has a duration of 70 years - the contract itself, however, stipulates 90 years
70;;2008-12-08;;70;
73;;2008-01-24;;70;
75;;2009-07-31;;70;
77;;2009-09-25;;70;
79;;2009-09-25;;70;
82;;2006-04-04;;70;
83;;2009-10-22;;70;
95;;2008-01-24;;70;
100;;;;70;
101;;2006-01-24;;70;
105;;2007-07-18;;70;
108;;2009-09-25;;70;
109;;2007-11-12;;70;
112;;2009-04-03;;70;
117;;2005-12-30;;70;
129;;2006-05-04;;70;"This agreement lasts seventy years starting from the signing date on-wards. The
management rights of this concession of land will be granted after this agreement takes
effect in accordance with the law in force. The renewal of the contract can only be made once the government granted an approval to the company."
130;;2008-07-04;;70;
188;100/2006;2006-02-25;;;PT DWK obtained Plantation Operational Licence/IUP through the Regent of Kapuas, No.100/2006, dated 25th February 2006.
