Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
"2","Afghanistan","23068","Credit to Agriculture, Forestry and Fishing","6109","Value Local Currency","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.000000","",,,"560.088038","","601.800000","","825.030000","","1117.884953","","1011.916105","","1080.758000","","1295.535740","","1743.100866","","1723.693920","","1469.055000","","1411.935000",""
"2","Afghanistan","23068","Credit to Agriculture, Forestry and Fishing","6183","Value Local Currency, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.095433","",,,"739.461411","","714.089927","","893.917035","","1158.455213","","1049.364786","","1080.758000","","1230.901122","","1642.761023","","1612.360432","","1333.722208","","1258.072708",""
"2","Afghanistan","23068","Credit to Agriculture, Forestry and Fishing","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.034834","",,,"12.057231","","12.873551","","16.202029","","20.186627","","17.676162","","17.675774","","19.089590","","25.623698","","23.912545","","18.897527","","18.381331",""
"2","Afghanistan","23068","Credit to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.277249","",,,"12.093875","","11.678915","","14.619999","","18.946574","","17.162322","","17.675774","","20.131262","","26.867390","","26.370195","","21.812960","","20.263841",""
"2","Afghanistan","23068","Credit to Agriculture, Forestry and Fishing","61132","Share of Total Credit US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.130000","Fc","0.586667","Fc","0.880000","Fc","0.750000","Fc","2.060000","Fc","2.380000","Fc","2.340000","Fc","2.380000","Fc","3.140000","Fc","4.170000","Fc","4.160000","Fc","3.570000","Fc","3.570000","Fc"
"2","Afghanistan","23068","Credit to Agriculture, Forestry and Fishing","6159","Agriculture orientation index US$","index",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.004207","Fc","0.017894","Fc","0.028466","Fc","0.025143","Fc","0.072139","Fc","0.085372","Fc","0.085156","Fc","0.093216","Fc","0.118906","Fc","0.163052","Fc","0.185376","Fc","0.139898","Fc",,
"2","Afghanistan","23019","Credit to Agriculture","6109","Value Local Currency","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.000000","",,,"560.088000","","601.800000","","825.030000","","1117.884953","","1011.916105","","1080.758000","","1295.535740","","1743.100866","","1723.693920","","1469.055000","","1411.935000",""
"2","Afghanistan","23019","Credit to Agriculture","6183","Value Local Currency, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.095433","",,,"739.461361","","714.089927","","893.917035","","1158.455213","","1049.364786","","1080.758000","","1230.901122","","1642.761023","","1612.360432","","1333.722208","","1258.072708",""
"2","Afghanistan","23019","Credit to Agriculture","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.034834","",,,"12.057230","","12.873551","","16.202029","","20.186627","","17.676162","","17.675774","","19.089590","","25.623698","","23.912545","","18.897527","","18.381330",""
"2","Afghanistan","23019","Credit to Agriculture","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.277249","",,,"12.093874","","11.678915","","14.619999","","18.946574","","17.162322","","17.675774","","20.131262","","26.867390","","26.370195","","21.812960","","20.263841",""
"2","Afghanistan","23019","Credit to Agriculture","61132","Share of Total Credit US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.130000","Fc",,,"0.880000","Fc","0.750000","Fc","2.060000","Fc","2.380000","Fc","2.340000","Fc","2.380000","Fc","3.140000","Fc","4.170000","Fc","4.160000","Fc","3.570000","Fc","3.570000","Fc"
"2","Afghanistan","23018","Total Credit","6109","Value Local Currency","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40000.000000","",,,"63646.368000","","80240.000000","","40050.000000","","46969.956000","","43244.278000","","45410.000000","","41259.100000","","41800.980000","","41434.950000","","41150.000000","","39550.000000",""
"2","Afghanistan","23018","Total Credit","6183","Value Local Currency, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60073.000000","",,,"84030.000000","","95212.000000","","43394.000000","","48675.000000","","44845.000000","","45410.000000","","39201.000000","","39395.000000","","38759.000000","","37359.000000","","35240.000000",""
"2","Afghanistan","23018","Total Credit","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"796.026004","",,,"1370.139851","","1716.473500","","786.506263","","848.177617","","755.391554","","742.679574","","607.948720","","614.477177","","574.820803","","529.342495","","514.883207",""
"2","Afghanistan","23018","Total Credit","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"982.000000","",,,"1374.000000","","1557.000000","","710.000000","","796.000000","","733.000000","","743.000000","","641.000000","","644.000000","","634.000000","","611.000000","","568.000000",""
"3","Albania","23068","Credit to Agriculture, Forestry and Fishing","6109","Value Local Currency","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2465.270000","","3234.060000","","3629.590000","","4886.460000","","6622.710000","","6560.930000","","7027.120000","","7086.000000","","7626.000000","","5192.000000","","5360.000000","","5642.000000","","5069.000000","","5830.000000",""
"3","Albania","23068","Credit to Agriculture, Forestry and Fishing","6183","Value Local Currency, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2908.502515","","3664.636461","","4015.712836","","5173.824564","","6853.537131","","6719.537974","","7176.278958","","7125.962397","","7626.000000","","5225.053690","","5316.985587","","5521.628499","","4941.990835","","5583.756345",""
