Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N
"2","Afghanistan","23080","FDI inflows to Agriculture, Forestry and Fishing","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.500000","X","INTRACEN","1.600000","X","INTRACEN","1.200000","X","INTRACEN","1.200000","X","INTRACEN","0.400000","X","INTRACEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Afghanistan","23080","FDI inflows to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.052175","Fc","Calculated","2.171850","Fc","Calculated","1.481107","Fc","Calculated","1.449729","Fc","Calculated","0.401216","Fc","Calculated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Afghanistan","23080","FDI inflows to Agriculture, Forestry and Fishing","6141","Share of Total FDI inflows US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.915966","Fc","Calculated","0.847952","Fc","Calculated","2.606769","Fc","Calculated","0.607555","Fc","Calculated","0.737994","Fc","Calculated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Afghanistan","23082","Total FDI inflows","6110","Value US$","millions","-0.280000","X","UNCTAD","0.360000","X","UNCTAD","-0.020000","X","UNCTAD","0.020000","X","UNCTAD","-0.093327","X","UNCTAD","0.690000","X","UNCTAD","-1.460000","X","UNCTAD","-0.010000","X","UNCTAD","6.040000","X","UNCTAD","0.170000","X","UNCTAD","0.680000","X","UNCTAD","50.000000","X","UNCTAD","57.800000","X","UNCTAD","186.900000","X","UNCTAD","271.000000","X","UNCTAD","238.000000","X","UNCTAD","188.690000","X","UNCTAD","46.034000","X","UNCTAD","197.513000","X","UNCTAD","54.201000","X","UNCTAD","57.621000","X","UNCTAD","47.227000","X","UNCTAD","37.639000","X","UNCTAD","43.510000","X","UNCTAD","163.103000","X","UNCTAD","93.590000","X","UNCTAD","53.390000","X","UNCTAD","119.440000","X","UNCTAD","38.533333","X","UNCTAD","12.970492","X","UNCTAD"
"2","Afghanistan","23082","Total FDI inflows","6184","Value US$, 2015 prices","millions","-0.650725","Fc","Calculated","0.814596","Fc","Calculated","-0.044320","Fc","Calculated","0.056591","Fc","Calculated","-0.214454","Fc","Calculated","1.695615","Fc","Calculated","-3.105881","Fc","Calculated","-0.020205","Fc","Calculated","15.811022","Fc","Calculated","0.271867","Fc","Calculated","0.953054","Fc","Calculated","90.460407","Fc","Calculated","106.056797","Fc","Calculated","309.581113","Fc","Calculated","418.035050","Fc","Calculated","348.969514","Fc","Calculated","256.129030","Fc","Calculated","56.817719","Fc","Calculated","238.616910","Fc","Calculated","54.365728","Fc","Calculated","52.273903","Fc","Calculated","42.615569","Fc","Calculated","35.326857","Fc","Calculated","42.245179","Fc","Calculated","163.103000","Fc","Calculated","98.696976","Fc","Calculated","55.981378","Fc","Calculated","131.715634","Fc","Calculated","44.478098","Fc","Calculated",,,
"2","Afghanistan","23085","Total FDI outflows","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.000000","X","UNCTAD","-0.700000","X","UNCTAD","1.500000","X","UNCTAD",,,,,,,"-0.482541","X","UNCTAD","0.334912","X","UNCTAD","-0.714947","X","UNCTAD","1.177552","X","UNCTAD","-9.040251","X","UNCTAD","0.537308","X","UNCTAD","-0.019161","X","UNCTAD","0.827993","X","UNCTAD","14.780000","X","UNCTAD","10.800000","X","UNCTAD","40.530000","X","UNCTAD","25.946667","X","UNCTAD","37.112627","X","UNCTAD"
"2","Afghanistan","23085","Total FDI outflows","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.834893","Fc","Calculated","-1.159480","Fc","Calculated","2.313847","Fc","Calculated",,,,,,,"-0.595579","Fc","Calculated","0.404610","Fc","Calculated","-0.717120","Fc","Calculated","1.068278","Fc","Calculated","-8.157526","Fc","Calculated","0.504302","Fc","Calculated","-0.018604","Fc","Calculated","0.827993","Fc","Calculated","15.586508","Fc","Calculated","11.324197","Fc","Calculated","44.695534","Fc","Calculated","29.949612","Fc","Calculated",,,
"3","Albania","23080","FDI inflows to Agriculture, Forestry and Fishing","6110","Value US$","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.550000","X","INTRACEN",,,,,,,,,,,,
"3","Albania","23080","FDI inflows to Agriculture, Forestry and Fishing","6184","Value US$, 2015 prices","millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.545505","Fc","Calculated",,,,,,,,,,,,
"3","Albania","23080","FDI inflows to Agriculture, Forestry and Fishing","6141","Share of Total FDI inflows US$","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.049969","Fc","Calculated",,,,,,,,,,,,
