Deal ID;Data source type;URL;File;Publication title;Date;Name;Organisation;Email;Phone;Open Contracting ID;Comment on data source
11;Research Paper / Policy Report;http://www2.gtz.de/wbf/4tDx9kw63gma/gtz2010-0061en-foreign-direct-investment-cambodia.pdf;uploads/2gtzdewbf4tdx9kw63gmagtz2010-0061en-foreign-direct-investment-cambodiapdf.pdf;;2009-01-01;;;;;;gtz, Foreign Direct Investment (FDI) in Land in Cambodia, 2009
11;Government sources;http://www.opendevelopmentcambodia.net/references/Gialani_Company_Limited__21.06.2011.pdf;uploads/opendevelopmentcambodianetreferencesgialani_company_limited__21062011pdf.pdf;;2011-06-21;;;;;;
11;Media report;http://www.opendevelopmentcambodia.net/concessions/profile/?id=56&cat=0&type=0&map=elc&tier=1;uploads/opendevelopmentcambodianetconcessionsprofileid56cat0type0mapelctier1.pdf;;;;;;;;
11;Government sources;http://www.cambodiainvestment.gov.kh/content/uploads/2011/09/Chapter7.pdf;uploads/cambodiainvestmentgovkhcontentuploads201109chapter7pdf.pdf;;2011-09-01;;;;;;
11;Research Paper / Policy Report;http://www.future-agricultures.org/component/docman/doc_download/1264-what-shall-we-do-without-our-land-land-grabs-and-resistance-in-rural;uploads/future-agriculturesorgcomponentdocmandoc_download1264-what-shall-we-do-without-our-land-land-grabs-and-resistance-in-rural.pdf;;2011-04-08;;;;;;
11;Research Paper / Policy Report;http://www.ohchr.org/Documents/HRBodies/HRCouncil/RegularSession/Session21/A-HRC-21-63-Add1_en.pdf;uploads/ohchrorgdocumentshrbodieshrcouncilregularsessionsession21a-hrc-21-63-add1_enpdf.pdf;;2012-09-24;;;;;;
17;Media report;http://www.opendevelopmentcambodia.net/maps/?id=114&cat=0&map=elc&type=0&tier=1&sec=cons;uploads/17. Mitr Phol disputants file complaint to UK government against Bonsucro;;2013-12-11;;;;;;
17;Company sources;http://www.mitrphol.com/index.php/en/business_unit/index.html;uploads/17. Mitr Phol Group;;2013-12-11;;;;;;Further search is needed
17;Government sources;http://www.cambodiainvestment.gov.kh/content/uploads/2011/09/Chapter7.pdf;uploads/cambodiainvestmentgovkhcontentuploads201109chapter7pdf.pdf;;2011-09-01;;;;;;
17;Media report;http://www.redd-monitor.org/2013/06/21/oddar-meanchey-redd-project-runs-into-problems-selling-carbon-credits-as-the-cambodian-government-misses-deal-signing-deadline/;uploads/redd-monitororg20130621oddar-meanchey-redd-project-runs-into-problems-selling-carbon-credits-as-the-cambodian-government-misses-deal-signing-deadline.pdf;;2013-06-21;;;;;;
17;Media report;http://www.cambodiadaily.com/archive/a-troubled-start-for-cambodias-carbon-credits-31277/;uploads/cambodiadailycomarchivea-troubled-start-for-cambodias-carbon-credits-31277.pdf;;2013-06-19;;;;;;
17;Research Paper / Policy Report;http://www.nepcon.net/sites/default/files/library/NEPCon-ForestTrends-Cambodia-conversion-2014-11.pdf;uploads/nepconnetsitesdefaultfileslibrarynepcon-foresttrends-cambodia-conversion-2014-11pdf.pdf;;2014-11-01;;;;;;Listed under Angkor Sugar
17;Media report;http://www.licadho-cambodia.org/pressrelease.php?perm=312;uploads/licadho-cambodiaorgpressreleasephpperm312.pdf;;2013-05-31;;;;;;
17;Research Paper / Policy Report;http://www.fao.org/fileadmin/templates/tci/pdf/InternationalInvestment/Cambodia/CambodiaFINAL_CDRI-FAO_-_FDI_in_agriculture_revise_08-08-2011_final_4_Sue_hang_fao_June-2012.pdf;uploads/faoorgfileadmintemplatestcipdfinternationalinvestmentcambodiacambodiafinal_cdri-fao_-_fdi_in_agriculture_revise_08-08-2011_final_4_sue_hang_fao_june-2012pdf.pdf;;2012-06-01;;;;;;
