Deal ID;Is public;Deal scope;Deal size;Target country;Current size under contract;Current size in operation (production);Current negotiation status;Current implementation status;Fully updated;Top parent companies;Intended size (in ha);Size under contract (leased or purchased area, in ha);Size in operation (production, in ha);Comment on land area;Intention of investment;Comment on intention of investment;Nature of the deal;Comment on nature of the deal;Negotiation status;Comment on negotiation status;Implementation status;Comment on implementation status;Purchase price;Purchase price currency;Purchase price area type;Purchase price area;Comment on purchase price;Annual leasing fee;Annual leasing fee currency;Annual leasing fee type;Annual leasing fee area;Comment on leasing fees;Contract farming;On leased / purchased;On leased area/farmers/households;Not on leased / purchased (out-grower);Not on leased area/farmers/households (out-grower);Comment on contract farming;Jobs created (total);Planned number of jobs (total);Planned employees (total);Planned daily/seasonal workers (total);Current total number of jobs/employees/ daily/seasonal workers;Comment on jobs created (total);Jobs created (foreign);Planned number of jobs (foreign);Planned employees (foreign);Planned daily/seasonal workers (foreign);Current foreign number of jobs/employees/ daily/seasonal workers;Comment on jobs created (foreign);Jobs created (domestic);Planned number of jobs (domestic);Planned employees (domestic);Planned daily/seasonal workers (domestic);Current domestic number of jobs/employees/ daily/seasonal workers;Comment on jobs created (domestic);Actors involved in the negotiation / admission process;Name of investment project;Comment on investment chain;Operating company: Investor ID;Operating company: Name;Operating company: Country of registration/origin;Operating company: Classification;Operating company: Investor homepage;Operating company: Opencorporates link;Operating company: Comment;Name of community;Name of indigenous people;Comment on communities / indigenous peoples affected;Recognition status of community land tenure;Comment on recognitions status of community land tenure;Community consultation;Comment on consultation of local community;Community reaction;Comment on community reaction;Presence of land conflicts;Comment on presence of land conflicts;Displacement of people;Number of people actually displaced;Number of households actually displaced;Number of people displaced out of their community land;Number of people displaced staying on community land;"Number of households displaced ""only"" from their agricultural fields";Number of people facing displacement once project is fully implemented;Comment on displacement of people;Negative impacts for local communities;Comment on negative impacts for local communities;Promised compensation (e.g. for damages or resettlements);Received compensation (e.g. for damages or resettlements);Promised benefits for local communities;Comment on promised benefits for local communities;Materialized benefits for local communities;Comment on materialized benefits for local communities;Presence of organizations and actions taken (e.g. farmer organizations, NGOs, etc.);Former land owner;Comment on former land owner;Former land use;Comment on former land use;Former land cover;Comment on former land cover;Crops area/yield/export;Comment on crops;Livestock area/yield/export;Comment on livestock;Mineral resources area/yield/export;Comment on mineral resources;Contract farming crops;Comment on contract farming crops;Contract farming livestock;Comment on contract farming livestock;Has domestic use;Domestic use;Has export;Export;Country 1;Country 1 ratio;Country 2;Country 2 ratio;Country 3;Country 3 ratio;Comment on use of produce;In country processing of produce;Comment on in country processing of produce;Processing facilities / production infrastructure of the project (e.g. oil mill, ethanol distillery, biomass power plant etc.);In-country end products of the project;Water extraction envisaged;Comment on water extraction envisaged;Source of water extraction;Comment on source of water extraction;Comment on how much do investors pay for water;Water extraction amount;Comment on how much water is extracted;Use of irrigation infrastructure;Comment on use of irrigation infrastructure;Water footprint of the investment project;Comment on gender-related info;Overall comment;Not public;Reason;Comment on not public
11;Yes;transnational;9380.00;Cambodia;9380.00;0.0;Concluded (Contract signed);None;2021-01-20T01:47:18.387231+00:00;30/4 Gialani Company Limited#2538#;;2005#current#9380.0;;"5 years Land Utilization Plan
Year 1 - 1,150 ha
Year 2 - 2,000 ha
Year 3 - 2,600 ha
Year 4 - 1,630 ha
Year 5 - 2,000 ha";#current##Livestock, Agriculture unspecified, Industry;Agro-industrial crops, animal husbandry and processing factory;Lease;;2005#current#Concluded (Contract signed);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37371;Unknown (30/4 Gialani Company Limited);Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
17;Yes;transnational;6523.00;Cambodia;6523.00;0.0;Concluded (Contract signed);In operation (production);2021-01-20T01:49:58.452068+00:00;Mitr Phol Group#274#;;2008#current#6523.0;;;#current##Biofuels, Food crops;Sugar plantation and construction processing factory;Lease;;2008#current#Concluded (Contract signed);;#current#In operation (production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34797;Angkor Sugar Co. Ltd.;Cambodia;Private company;;;;;;700 families in Samrong district, Konkreal commune complained the Mitr Phol company as this company grabbed their land. The families were forced off their land to make may for Mitr Phol's sugar plantations between 2008   and 2009.;;;Not consulted;The families who sought to defend their rights were thrown in jail.;Rejection;700 families in Samrong district, Konkreal commune complained the Mitr Phol company as this company grabbed their land. The families were forced off their land to make may for Mitr Phol's sugar plantations between 2008   and 2009.;Yes;The land conflict continued until March 2019;Yes;;154;;;;;"Forced evictions took place, but it is unknown how many people exactly were displaced.

April 2008, The company demolished 154 houses in Bos Village, Kong Kriel commune
October 09, 2009, homes belonging to approximately 118 families from Bos village were burned and bulldozed by a contingent of approximately 150 police, military police, and hired demolition workers";Socio-economic|Eviction|Displacement|Violence|Other;"There are still 92 families who have not received their land back.
Police arrests";;;;;;;;State|Private (smallholders)|Community;;Smallholder agriculture|Forestry;;Cropland|Forest land;;#current####Sugar Cane;;;;;;;;;;;;;;;;;;;;Has 1mill, with Crushing Capacity and 5,000 tons/day;;;;;;;;;;;;;;;;Mitr Phol is being investigated for Human Rights violation, which there are 700 families were affected by its operation.;No;;
19;Yes;transnational;10603.00;Cambodia;10603.00;0.0;Concluded (Contract signed);Startup phase (no production);2020-08-31T00:11:40.500865+00:00;Bigimexco#18#;;#current#10603.0;;Complaint lodged by the indigenous communities affected indicates that the company has taken 10,603 hectares: 3,000 belonging to Koh Thmor village, 4,271 belonging to Changkorm1 village and 3,332 belonging to Changkorm Kandal village.;#current##Food crops, Non-food agricultural commodities;Rubber and Cashew;Concession;;#current#Concluded (Contract signed);;2006#current#Startup phase (no production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34799;Bigimexco Sothy Aphivath Co Ltd;Cambodia;Private company;;;;Kohthmor#Changkorm 1#Changkorm Kandal#;Stieng#;Three (Kohthmor, Changkorm 1, and Changkorm Kandal) in Tonlung commune;Indigenous Peoples traditional or customary rights not recognized by government;;Not consulted;;Rejection;;Yes;Encroachment of farmland and forest and land grabbing of the company;Yes;;;;;;2000;;Environmental degradation|Socio-economic|Cultural loss|Eviction|Displacement;The loss of community forest and land has deprived households of sources of income, such as non-timber forest products and land reserved for future generations. It adds their plan to register the area as indigenous community land has been obstructed. Mango groves, grazing land, spirit forests and farm fields have been destroyed.;;;;;;;;State|Community|Indigenous people;;Smallholder agriculture|Pastoralism|Forestry|Other;spirit forest;Cropland|Forest land|Pasture;;#current####Cashew, Rubber tree;;;;;;;;;;;;;;;;;;;;The major markets of the company are China, Taiwan, Philippines, Russia, Malaysia, Singapore, Japan, Turkey, Europe, South America. Although the source of product and product itself was not specified if in Cambodia.;;;;;;;;;;;;;;;;No update on the deal and the human rights case after 2009.;No;;
20;Yes;transnational;7500.00;Cambodia;7500.00;0.0;Concluded (Contract signed);Startup phase (no production);2021-01-20T01:53:07.810472+00:00;BNA (Cam) Corp#19#;;2009#current#7500.0;;;#current##Non-food agricultural commodities, Agriculture unspecified;Rubber and Cassava plantation and processing;Concession;;2009-09-25#current#Concluded (Contract signed);Signed the contract on 25 September 2009 with Ministry of Agriculture, Forestry, and Fisheries;2009-08-19#current#Startup phase (no production);Permitted for border demarcation and land clearance 25 hectares for starting activities by the letter no. 4737/464 dated 19 August 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34800;Unknown (BNA (Cam) Corp);Cambodia;Private company;;;;;;;;;;;Rejection;;;;;;;;;;;;;;;;;;;;;State;;Smallholder agriculture;;Cropland;Cashew trees.;#current####Cassava (Maniok), Rubber tree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
23;Yes;transnational;8000.00;Cambodia;8000.00;0.0;Concluded (Contract signed);Startup phase (no production);2015-04-03T19:28:58+00:00;CJ Corporation#2315#|MH Ethanol Co. Ltd.#2316#;;2001##5000.0|2021#current#8000.0|1999##3000.0;;"According to this article: http://www.fao.org/fileadmin/templates/tci/pdf/InternationalInvestment/Cambodia/CambodiaFINAL_CDRI-FAO_-_FDI_in_agriculture_revise_08-08-2011_final_4_Sue_hang_fao_June-2012.pdf, the company operates two lots.

according to this article: https://lite.bongthom.com/company_detail/cj_cambodia_co_ltd_18.html the company operates 8000 hectares up to this year.";#current##Biofuels;;Lease;;2001#current#Concluded (Contract signed);;#current#Startup phase (no production);"80% of the total land area have been cleared

Active status of Economic Land Concession by Ministry of Agirculture, Forestry and Fisheries";;;;;;;;;;;;;;;;;Yes;;;;;On Dec 2005, 101-500 total employees (https://landmatrix.org/media/uploads/cjcambodiaenec21com.pdf);;;;;;;;;;;;;;;Has a 50/50 joint venture with Muhak Alcohol in 2001 and incorporated CJ Cambodia with an initial capital of $520 million. At present, CJ Cambodia runs a farm and amylum factory on 20,000 acres of land in the Kampong-Spoe area;34803;CJ Cambodia Co Ltd;Cambodia;Private company;;;;;;;;;Not consulted;There was an absence of consultation between the company and the local community.;Rejection;There were some communities that were able to conduct protests, complaints and demonstrations against the project to protect their interests on the land.;Yes;Last November 2004, report shows that the concession area were grabbed by a large group of anarchy people and yet, the company solved the issue.;;;;;;;;;Environmental degradation|Eviction|Violence;Last 2002,m the company built a canal around its concession to stop local communities entering the area. The company also brought fear to the local people by employing armed guards of the area. They also  cleared and bulldozed forests upon which local people depend.;;;;;;;;;;;;;;2021#current####Banana, Cashew, Cassava (Maniok), Eucalyptus, Mango, Sugar Cane;;;;;;;;;;;;;;;;;;;;;Yes;Bio-ethanol production;;;;;;;;;;;;;;;No;;
27;Yes;transnational;7635.00;Cambodia;7635.00;0.0;Concluded (Contract signed);In operation (production);2015-04-03T19:19:23+00:00;Carmadeno Venture Limited#25#;;2011#current#7635.0;;;#current##Agriculture unspecified;sugar cane plantation;Lease|Concession;;2009#current#Concluded (Contract signed);;2009#current#In operation (production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34806;Carmadeno Venture (Cambodia) Limited;Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State;;;;;;#current####Sugar Cane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
29;Yes;transnational;7000.00;Cambodia;7000.00;0.0;Concluded (Contract signed);None;2015-04-02T18:24:19+00:00;Central First Company#27#;;2011#current#7000.0;;;#current##Non-food agricultural commodities;rubber plantation;Concession;;2009#current#Concluded (Contract signed);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34808;Central First Company Limited;Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State;;;;;;#current####Rubber tree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
33;Yes;transnational;769.00;Cambodia;769.00;0.0;Concluded (Contract signed);Startup phase (no production);2021-01-20T01:57:36.939707+00:00;CIV Development Company#31#;;2008#current#769.0;;;#current##Non-food agricultural commodities;;Concession;;2008#current#Concluded (Contract signed);;2009#current#Startup phase (no production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34812;Unknown (CIV Development Company);Cambodia;Private company;;;;;;Four villages in two communes of Snoul district, Kratie province.;;;Not consulted;;Rejection;;;The Governor leased 769 hectares of indigenous lands in four villages to CIV Development Company on May 27, 2008. The ELC did not comply with either the 2001 Land Law or later sub-decrees that protect indigenous lands and was illegal on multiple grounds.;;;;;;;;250 families are affected.;;;CIV Development Company made a deal: CIV decided to offer the villagers a total of 480 ha to end the conflict;;;;;;;State|Community;;Smallholder agriculture;;Cropland;;#current####Cassava (Maniok), Rubber tree;Rubber and cassava plantation and processing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
35;Yes;transnational;7200.00;Cambodia;7200.00;0.0;Concluded (Contract signed);In operation (production);2021-01-20T02:00:30.372688+00:00;China Asean Resources Ltd.#11#;;2008#current#7200.0;;;#current##Non-food agricultural commodities, Timber plantation;;Concession;;2008#current#Concluded (Contract signed);;2011#current#In operation (production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38458;Crops & Land Development (Cambodia) Co. Ltd;Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Forest land;;#current####Accacia, Rubber tree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;This is just one of three economic land concessions China Asean Resources holds through subsidiaries in Karatie. China Asean Resources Ltd. operates its investment in Cambodia through three subsidiaries: (Cambodia) Tong Min Group Engineering, Agri-Industrial Crops Development and Crops & Land Development.;No;;
36;Yes;transnational;4000.00;Cambodia;4000.00;0.0;Concluded (Contract signed);None;2021-01-20T02:00:45.884790+00:00;DUI Holding A/S#3891#;;2011#current#4000.0;;;#current##Non-food agricultural commodities;;Lease;;2009#current#Concluded (Contract signed);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39821;Danam Farms LTD in Cambodia;Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#current####Rubber tree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
