Deal ID;Is public;Deal scope;Deal size;Target country;Current size under contract;Current size in operation (production);Current negotiation status;Current implementation status;Fully updated;Top parent companies;Intended size (in ha);Size under contract (leased or purchased area, in ha);Size in operation (production, in ha);Comment on land area;Intention of investment;Comment on intention of investment;Nature of the deal;Comment on nature of the deal;Negotiation status;Comment on negotiation status;Implementation status;Comment on implementation status;Purchase price;Purchase price currency;Purchase price area type;Purchase price area;Comment on purchase price;Annual leasing fee;Annual leasing fee currency;Annual leasing fee type;Annual leasing fee area;Comment on leasing fees;Contract farming;On leased / purchased;On leased area/farmers/households;Not on leased / purchased (out-grower);Not on leased area/farmers/households (out-grower);Comment on contract farming;Jobs created (total);Planned number of jobs (total);Planned employees (total);Planned daily/seasonal workers (total);Current total number of jobs/employees/ daily/seasonal workers;Comment on jobs created (total);Jobs created (foreign);Planned number of jobs (foreign);Planned employees (foreign);Planned daily/seasonal workers (foreign);Current foreign number of jobs/employees/ daily/seasonal workers;Comment on jobs created (foreign);Jobs created (domestic);Planned number of jobs (domestic);Planned employees (domestic);Planned daily/seasonal workers (domestic);Current domestic number of jobs/employees/ daily/seasonal workers;Comment on jobs created (domestic);Actors involved in the negotiation / admission process;Name of investment project;Comment on investment chain;Operating company: Investor ID;Operating company: Name;Operating company: Country of registration/origin;Operating company: Classification;Operating company: Investor homepage;Operating company: Opencorporates link;Operating company: Comment;Name of community;Name of indigenous people;Comment on communities / indigenous peoples affected;Recognition status of community land tenure;Comment on recognitions status of community land tenure;Community consultation;Comment on consultation of local community;Community reaction;Comment on community reaction;Presence of land conflicts;Comment on presence of land conflicts;Displacement of people;Number of people actually displaced;Number of households actually displaced;Number of people displaced out of their community land;Number of people displaced staying on community land;"Number of households displaced ""only"" from their agricultural fields";Number of people facing displacement once project is fully implemented;Comment on displacement of people;Negative impacts for local communities;Comment on negative impacts for local communities;Promised compensation (e.g. for damages or resettlements);Received compensation (e.g. for damages or resettlements);Promised benefits for local communities;Comment on promised benefits for local communities;Materialized benefits for local communities;Comment on materialized benefits for local communities;Presence of organizations and actions taken (e.g. farmer organizations, NGOs, etc.);Former land owner;Comment on former land owner;Former land use;Comment on former land use;Former land cover;Comment on former land cover;Crops area/yield/export;Comment on crops;Livestock area/yield/export;Comment on livestock;Mineral resources area/yield/export;Comment on mineral resources;Contract farming crops;Comment on contract farming crops;Contract farming livestock;Comment on contract farming livestock;Has domestic use;Domestic use;Has export;Export;Country 1;Country 1 ratio;Country 2;Country 2 ratio;Country 3;Country 3 ratio;Comment on use of produce;In country processing of produce;Comment on in country processing of produce;Processing facilities / production infrastructure of the project (e.g. oil mill, ethanol distillery, biomass power plant etc.);In-country end products of the project;Water extraction envisaged;Comment on water extraction envisaged;Source of water extraction;Comment on source of water extraction;Comment on how much do investors pay for water;Water extraction amount;Comment on how much water is extracted;Use of irrigation infrastructure;Comment on use of irrigation infrastructure;Water footprint of the investment project;Comment on gender-related info;Overall comment;Not public;Reason;Comment on not public
12;Yes;domestic;7000.00;Cambodia;7000.00;0.0;Concluded (Contract signed);In operation (production);2021-01-20T01:47:27.479129+00:00;Agri-Industrial Crop Development (Cambodia) Co, Ltd#34792#;;2008#current#7000.0;;This is just one of three economic land concessions the company holds in Karatie.;#current##Non-food agricultural commodities, Timber plantation;;Lease;;2008#current#Concluded (Contract signed);;2011#current#In operation (production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The principal activity of the company is on Forestry and Agricultural Business;34792;Agri-Industrial Crop Development (Cambodia) Co, Ltd;Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#current####Accacia, Rubber tree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;This is just one of three economic land concessions China Asean Resources holds through subsidiaries in Karatie.;No;;
14;Yes;domestic;2400.00;Cambodia;2400.00;2000.00;Concluded (Contract signed);In operation (production);2021-01-20T01:46:06.213756+00:00;Agro Star Investment#34794#;;1996#current#2400.0;2001#current#2000.0;2400 ha total land area with/and 2,000 ha designated exploitation land (the 2,000 ha exploitation land was not clear if additional or part of the total land area);#current##Food crops, Livestock;Cashew-Apple plantation and Animal husbandry;Lease;;1996#current#Concluded (Contract signed);"Letter No. 85 LKH.KCH dated 23 June 1999, Kampong Cham Provincial Hall, on
accusation of 200 families Trapeang Snor Village, Tomnup Commune, Batheay
District, claimed for 300 hectares from company.";2001#current#In operation (production);On active status Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries;;;;;;;;;;;No;;;;;"Letter No. 85 LKH.KCH dated 23 June 1999, Kampong Cham Provincial Hall, on
accusation of 200 families Trapeang Snor Village, Tomnup Commune, Batheay
District, claimed for 300 hectares from company.";;;;;;;;;;;;;;;;;;;;;;34794;Agro Star Investment;Cambodia;Private company;;;;;;"Affected 200 families: Letter No. 85 LKH.KCH dated 23 June 1999, Kampong Cham Provincial Hall, on
accusation of 200 families Trapeang Snor Village, Tomnup Commune, Batheay
District, claimed for 300 hectares from company.";;;;;Rejection;"Letter No. 85 LKH.KCH dated 23 June 1999, Kampong Cham Provincial Hall, on
accusation of 200 families Trapeang Snor Village, Tomnup Commune, Batheay
District, claimed for 300 hectares from company.";;;;;;;;;;;Other;Negative impact on the community livelihoods;;;;;;;;State|Community;;;;;;##695.0###Cashew|#current#50.0###Mango;Another 50 ha for jack fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contract between Cambodia and Agro Star Investment Company written in Khmer has been uploaded as Data Source #8 for reference;No;Research in progress;
16;Yes;domestic;9863.00;Cambodia;9863.00;1500.00;Concluded (Contract signed);In operation (production);2021-01-20T01:49:38.041661+00:00;An Mady Group#34796#;10000.00;2005#current#9863.0;2007#current#1500.0;;#current##Livestock, Non-food agricultural commodities;Acacia, Trincomali wood, and other plantation crops;Concession;;2005#current#Concluded (Contract signed); ;2005#current#In operation (production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34796;An Mady Group;Cambodia;Private company;;;change name from An Mardy group to An Mady group.;;;100 villagers from Kompong Thorn province's Prasat Balang district protested for the third time on Friday against a private firm that they accuse of bulldozing their land and filling in a lake;;;Limited consultation;;Rejection;;Yes;;;;;;;;;;Environmental degradation|Socio-economic|Displacement;An Mardy Group has threatened their livelihoods and demanding that its 10,000-hectare acacia concession stop encroaching on their territory.;;;Roads;;;;Cambodia Center for Human Rights;State|Community;;;;;;#current####Accacia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
18;Yes;domestic;10000.00;Cambodia;10000.00;0.0;Concluded (Contract signed);In operation (production);2021-01-20T01:51:30.508508+00:00;Asia World Agricultural Development (Cambodia) Co. Ltd.#34798#;;2006#current#10000.0;;;2016#current##Timber plantation, Industry;Tectona replantation and construct processing factory;Concession;;2006#current#Concluded (Contract signed);;2006#current#In operation (production);"1. Finished the identification of demarcation points and survey on concerned area in May 2006.
2. Ministry of Agriculture, Forestry and Fisheries permitted for clearance along border by Letter No. 2395/203 KSK.NP.PK dated 11 May 2006.
3. Permission for using master plan from Ministry of Agriculture, Forestry and Fisheries by Letter No. 6259 KSK dated 28 November 2006.
4. November 2006 approved master plan.
5. Made sowing field 20 hectares and sowed 40,000 trees.
6. Cleared land along border 53 Km.
7. Ministry permitted for land clearance in 2008, zone 3: 1,954 hectares by letter 4078 KSK dated 27 July 2007.";;;;;;1;US Dollar ($);per ha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34798;Asia World Agricultural Development (Cambodia) Co. Ltd.;Cambodia;Private company;;;;;;Kbal Damrey, O Kreang and Rorlaus Meanchey Commune;;;;EAI has been conducted with letter No. 034 scn dated 31/01/2007;;;Yes;;;;;;;;;;;;;;;;;;;State;;;;;;#current####Teak;;;;;;;;;;;;;;;;;;;;;Yes;;;;;;;;;;;;;;;Further information is needed;No;;
26;Yes;domestic;16000.00;Cambodia;16000.00;0.0;Concluded (Contract signed);In operation (production);2015-11-20T16:21:37+00:00;CAMLAND Co., Ltd.#34805#;;2011#current#16000.0;;"Of the 16,0000 ha, 5,439  ha related to Bokor National Park; 5,005 hectares related to forest and 3,008 hectares to the people and the rest 3,010 hectares

*Intended Area (ha): Region I - 5643.0 (ha), Region II - 10820.0 (ha)";#current##Agriculture unspecified;"palm oil

*Letter No. 1235 SCN dated 13 November 1996, Council of Minister, on provisional approval of land concession 16,000 hectares, CAMLAND Co., Ltd. for investment of oil palms, animal husbandry and construct processing factory in Kampong Bay,Kampot Province";Concession;;2000#current#Concluded (Contract signed);"""The total land area is 16,400 hectares, while 5,439 hectares related to Bokor National Park, 5,005 hectares related to forest and 3,008 hectares to the people and the rest 3,010 hectares."" (www.opendevelopmentcambodia.net/references/Camland__21.06.2011.pdf)";#current#In operation (production);"*Land Utilization Plan (8 years):
year 1 : 10 %
year 2 : 12 %
year 3 : 12 %
year 4 : 12 %
year 5 : 12 %
year 6 : 14 %
year 7 : 14 %
year 8 : 14 %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ministry of Agriculture, Forestry and Fisheries #Government / state institutions (government, ministries, departments, agencies etc.);;;34805;CAMLAND Co., Ltd.;Cambodia;Private company;;;;;;;Community traditional or customary rights not recognized by government;*The company has retaliated to stop its activities by calling upon the protesting villagers to produce documents of proof for their claims.;Not consulted;*In Kampot province, early June 2009, about 300 villagers wielding axes and knives assembled to protest against Camland Company, claiming the company was clearing their land without their consent.;Rejection;*In Kampot province, early June 2009, the local community threatened to set fire to the company‟s bulldozers if it failed to stop its activities.;Yes;*The company possessed a seventy-year license from the government to develop oil palm plantations but the community claimed the same area to be their ancestral land on which they have lived for generations.;;;;;;;;;;;;;;;;;;State;;;;;;#current####Oil Palm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
28;Yes;domestic;7400.00;Cambodia;7400.00;2000.00;Concluded (Contract signed);In operation (production);2021-01-20T01:55:26.353780+00:00;Cassava Starch Production Co., Ltd#34807#;;2011#current#7400.0;2011#current#2000.0;6,190 of 7,400 ha hectares for exploitation;#current##Agriculture unspecified;cashew-apples and trincomali plantation, agro-industrial crops and processing factory.;Lease|Concession;;1999#current#Concluded (Contract signed);;2007#current#In operation (production);"Constructed building for workers 17 buildings, for security 01 building, warehouse 01 building and processing factory 01 building; Planted 2,000 hectares and Prepare for clearing 950 hectare for next plantation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34807;Cassava Starch Production Co., Ltd;Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State;;;;;;#current####Cashew;Rosewood, cashew nut and other crops;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
32;Yes;domestic;8000.00;Cambodia;8000.00;0.0;Concluded (Contract signed);Startup phase (no production);2021-01-20T01:57:23.750141+00:00;Crystal Agro Company Limited#37375#;10000.00;2011#current#8000.0;;Letter No. 708 SCN dated 04 May 2006 by Council Minister on the principle approval for 8,000 hectares of land concession located in 10,000 hectares located in Samrong District, Uddor Meanchey Province for investment in Cassava and agro-industry plantation;#current##Biofuels, Non-food agricultural commodities;Cassava and agro-industry plantation for ethanol products;Concession;;2006#current#Concluded (Contract signed);;2006#current#Startup phase (no production);Cleared 50 hectares for staff and workers building and Implementing master plan in zone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37375;Crystal Agro Company Limited;Cambodia;Private company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State;;;;;;#current####Accacia, Cassava (Maniok), Sugar Cane, Teak;"Main production: Cassava and acasia
Secondary production: sugarcane, teak tree (tectona  grandis) and other crops";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
34;Yes;domestic;5345.00;Cambodia;5345.00;0.0;Concluded (Contract signed);None;2015-11-21T17:09:01+00:00;Covyphama Co., Ltd#34813#;;2011#current#5345.0;;"The designated land area is a protected area

Last January of 2020, report shows that the company has a land area of 5,559 hectares. The article was added to data sources to support this information.";#current##Non-food agricultural commodities;Rubber plantation.;Concession;;2008#current#Concluded (Contract signed);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"local company

The company is also called Socfin last July iof 2019. Bousra community informed that the company has changed the name for many times and lastly, they still called Socfin Rubber Company.";34813;Covyphama Co., Ltd;Cambodia;Private company;;;;;;;;;Not consulted;;;;Yes;;Yes;;;;;;;;Environmental degradation|Socio-economic|Displacement;;;;;;;;;State;;;;;;#current####Rubber tree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
37;Yes;domestic;6436.00;Cambodia;6436.00;0.0;Concluded (Contract signed);Startup phase (no production);2021-01-20T03:15:44.379113+00:00;Doty Saigon-Binh Phouc (SBK)#35#;;2011#current#6436.0;;;#current##Food crops, Non-food agricultural commodities, Agriculture unspecified, Industry;Rubber, cassava, cashew nut plantation and construct processing factory;Concession;;2007#current#Concluded (Contract signed);;2008#current#Startup phase (no production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Company registered at same address as VRG (Vietnam Rubber Group) and its operations
are listed on 2008 VRG report to Cambodian government. Thus, holding believed to be affiliated to VRG.
Address of local office in Cambodia: Norodom Blvd, Sangkat Chaktomuk, Khan Daun Penh, Phnom Penh";34816;Unknown (Doty Saigon-Binh Phouc (SBK));Cambodia;Private company;;;;Thmey commune#;;Protest against the forests being destroyed.;;;;;Rejection;;Yes;Road blockage, entry from 7am to 7pm only. It was then resolved and we have agreed that people can travel freely 24-hours, but if you transport goods, the time limit will be from 5am to 11pm;;;;;;;;;Environmental degradation;Cutting down the local forest.;;;;;;;;State;;Smallholder agriculture|Forestry;;Forest land;;#current####Cashew, Cassava (Maniok), Rubber tree;Rubber, cassava, cashew nut plantation and construct processing factory;;;;;;;;;;;;;;;;;;;;Yes;;;;;;;;;;;;;;;;No;;
38;Yes;domestic;10000.00;Cambodia;10000.00;0.0;Concluded (Contract signed);Startup phase (no production);2021-01-20T03:19:11.073877+00:00;First Bio-Tech Agricultural (Cambodia) Co. Ltd.#34817#;10000.00;2011#current#10000.0;;;#current##Livestock, Agriculture unspecified;Agro-industrial plantation and animal husbandry;Concession;;2005#current#Concluded (Contract signed);;2005-03#current#Startup phase (no production);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34817;First Bio-Tech Agricultural (Cambodia) Co. Ltd.;Cambodia;Private company;;;;Chi Bak village in Techo Aphiwat commune#;;70 families in 80 hectares have claimed that First Bio-Tech Agricultural (Cambodia) Co, have burnt down there homes.;;;Not consulted;;Rejection;;;;Yes;;70;;;;;House of 70 families were destroyed.;Environmental degradation|Displacement;;;;;;;;;State|Community;Residents without land titles live in the concession area.;Smallholder agriculture;;Cropland;;#current####Corn (Maize);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;
