Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
12;Exact location;Kbal Damrey Commune, Sambo District, Kratie Province;12.86063,105.96999;;;"Location: Srechis and Kbal Damrey Communes, Sambo District, Kratie Province. Coordinates: A:641015-1409339, B:643000-1409339, C:643000-1413985, D:655000-1407000, E:641015-1407000
This company operates in Srechis and Kbal Damrey Communes, Sambo District, Kratie province"
12;Exact location;Srechis Commune, Sambo District, Kratie Province;;;;Local Office Address: #175, Street 155, Sangkat Tuol Tum Poung I, Khan Camkar Morn, Phnom Penh
14;Exact location;Choeng Prey District, Kompong Cham province;11.99141,105.4654;;;Location: Choeng Prey District, Kampong Cham Province. Coordinates: A:503844-1331929, B:503766-1332736, C:503577-1332731, D:503478-1333935, E:501828-1333144, F:501297-1333203, G:501029-1335048, H:501961-1335177, I:501826-13335571, J:502331-1335648, K:502385-1335246, L:502187-1335206, M:502241-1334812, N:502833-1334900, O:502752-1335499, P:502563-1335479, Q:502471-13366094, R:502509-1336098, S:502482-1336231, T:507313-1333866, U:506418-1332344, V:505454-1332165, X:505454-1332000.
16;Exact location;Balang, Cambodia;12.69261,104.90093;;;"Location: Balang District, Kampong Thom Province. Coordinates: A:492000-1443000, B:492000-1423000, C:491000-1423000, D:491000-1429000,
E:488000-1429000, F:488000-1432500, G:483000-1432500, H:483000-1442000,
I:488000-1440000, J:488000-1443000."
18;Exact location;Sambo District, Kratie, Cambodia;12.48,106.03;;;"Location: Sambo District, Kratie Province. Coordinates: A:632000-1430000, B:633000-1422000, C:651000-1422000, D:651000-1430000.
Coordinates from deleted LO deal duplicate:
12.826802035261746
106.30682264687806"
26;Exact location;Kampot Bay District, Cambodia;10.73749,104.25038;;;"Kampong Bay District, Kampot Province

*Coordinates
A:383623-1173993, B:386501-1176535, C:388045-1174068, D:391996-1169994,
E:404100-1170000, F:404773-1173411, G:407821-1175967, H:407790-1173264,
I:408005-1171876, J:421199-1183343, K:420387-1183689, L:420755-1186002,
M:416999-1186001, N:417000-1187004, O:406003-1187007, P:405999-1189993,
Q:403448-1199315, R:415372-1190751, S:422493-1184166"
28;Exact location;Steung Treng District, Steung Treng Province,Cambodia;13.57647,105.96999;;;Stung Treng District, Stung Treng Province
32;Exact location;Samrong district, Oddar Meancheay, Cambodia;14.17172,103.63627;;;"Location: Samrong District, Uddor Meanchey Province.

Coordinates: A:358000-1580000, B:358000-1588000, C:366000-1588000, D:370000-1586000,
E:372000-1586000, F:372000-1580000."
37;Exact location;Thmey Communes,Kratié, Cambodia;12.86063,105.96999;;;"Thmey and Kantuot Communes, Kratie District, Kratie Province / 
A:638000-1372007,
B:642000-1370900, 
C:644048-1374022, 
D:642950-1380692,
E:643007-1379800,
F:639590-1371841, 
G:643864-1373809, 
H:638500-1381800,
I:645602-1380620,"
37;Exact location;Kantuot Commune, Kratie District, Kratie Province, Cambodia;14.235,104.73792;;;"For your review.
LM Website shows that the investor is Doty-Saigon Binh Phouc. The cartodb_id number 170 has Dau Tu Saigon-Binh Phuoc (SBK) as investor with the same land area of 6436."
38;Approximate location;Chhouk District, Kampot province.;10.83597,104.45777;;;"Chhouk District, Kampot Province
Coordinates from deleted LO deal duplicate:
10.985149134307287
104.17589129424064"
45;Exact location;Prasat Sambour, Cambodia;12.86418,105.17268;;;Tumnob, Sraeung and Thmei, Prasat Sambour
45;Exact location;Santuk, Cambodia;12.63251,105.31312;;;Ta Menh, Trapeang Pring and Sopheak Mongkol, Santuk
52;Approximate location;Sambour District, Cambodia;12.77423,105.96491;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
12.899309701506425
106.30264777958615"
54;Exact location;Siem Pang, Cambodia;13.99387,106.44059;;;Siem Pang and Stung Treng Districts, Stung Treng Province
54;Exact location;Stung Treng, Cambodia;13.57647,105.96999;;;
59;Coordinates;Oyadao District, Ratanak Kiri, Cambodia;13.58947,107.45016;;;Oyadao District, Ratanakiri Province
62;Exact location;Chi Kraeng, Cambodia;13.18198,104.33264;;;Chi Kreng and Svay Loe Districts, Siem Reap Province
62;Exact location;Svay Loe Districts, Siem Reap Province;;;;
63;Administrative region;Kampong Speu​, Cambodia;11.61551,104.37919;;;"Kompong Speu
Coordinates from deleted LO deal duplicate:
11.884699999999983
104.162"
65;Exact location;Vensay District, Ratanak Kiri, Cambodia;13.85766,107.10119;;;"Vensay District, Ratanakiri Province
coordinates from LO import deal duplicate:
13.869222814888165
106.84748513464623"
