Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
11;Exact location;Ou Ya Dav, Cambodia;13.66963,107.34645;;;"Ratanakiri Province, Oyadao District

Address of Local Office: # 21 B, Street 456, Sangkat Toul Tumpung, Khan Chamkarmorn, Phnom Penh, Cambodia"
17;Exact location;Kreal commune, Samrong district,Oddar Meancheay, Cambodia;14.17172,103.63627;;;"Kreal commune, Samrong district,
Oddar Meanchey province."
19;Approximate location;Memot, Cambodia;11.8302,106.17868;;;Kohthmor Village, Changkorm 1 Village, and Changkorm Kandal  Village in Tonlung commune, Memoth District, Kampong Cham Province
20;Coordinates;Santuk, Cambodia;12.73169,105.10388;;;"Location: Santuk District, Kampong Thom Province. Coordinates: A:512216-1410027, A1:512214-1410909, B:518840-1410000, B1:518832-1410903,
B2:517450-1410000, B3:516000-1407000, B4:518832-1407000, C:518812-1400344,
D:502000-1400344, E:502000-1403183, F:510202-1403183, G:510202-1408305.
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
23;Coordinates;Phnom Sruoch, Cambodia;11.17647,104.29334;;;"Phnom Srouch, Kampong Speu Province 
Coordinates: A:414000-1231000, B:414500-1233000, C:416200-1233000, D:415800-1232100, E:416100-1232100, F:416900-1233000, G:417100-1233000, H:417800-1234500,
I:417800-1235000, J:418000-1235000, K:418000-1237000, L:419500-1238000,
M:420900-1238000, N:421100-1237900, O:4215000-1238100 P:421200-1238400,
Q:423100-1240000, R:424000-1240000, S:425100-1238500, T:425100- 1238100, U:425200-1238100, V:425200-1231500, W:425000-1231000; 

Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
27;Exact location;Sambo District, Cambodia;12.77423,105.96491;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
12.913430850463845
106.07072545576293"
29;Exact location;Sambo district, Kratié, Cambodia;12.86063,105.96999;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
13.148070145116025
106.09233042249603"
33;Coordinates;Kratié, Cambodia;12.00031,106.4248;;;"Kratie province, Snoul district, Meancheay, Krobai Cholroung, Kbal Lumpov and
Dey Krahom; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
35;Exact location;Sambo District, Kratié, Cambodia;12.86063,105.96999;;;Location: Srechis commune, Sambo district, Kratie province. Coordinates: A:663513-1428092, B:663508-1418000, C:672000-1418000, D:672000-1419000, E:672628-1419000, F:673327-1428092.
36;Administrative region;Pu Chrey, Cambodia;12.68778,107.21677;;;"Pu Chrey, Krang Teh and Sre Ampum Communes, Pechreada District, Mondulkiri Province

Coordinates: A:745957-1400710, B:752081-1400710, C:752081-1396339, D:750000-1392000,
E:745202-1392000, F:743994-1392605, G:744000-1396000, H:745000-1396000,
I:745000-1397002, J:745956-1398836"
36;Administrative region;Khum Krang Teh, Cambodia;12.72146,107.4322;;;
36;Administrative region;Srae Ampum, Pech Chenda, Cambodia;12.70546,107.0067;;;
39;Exact location;Phnom Sruoch, Samrong Oral Districts, Cambodia;11.32608,104.23478;;;"Phnom Srouch, Samrong and Oral Districts, Kampong Speu Province
Coordinates from deleted LO deal duplicate:
11.575272107170838
104.23685859627895"
39;Approximate location;Samrong, Cambodia;11.28629,104.72366;;;
40;Administrative region;Koh Russei, Bamboo Island, Cambodia;10.49615,103.5596;;;Koh Russei and Koh Ta Kiev
40;Administrative region;Koh Ta Kiev, Cambodia;10.48772,103.59576;;;
42;Coordinates;Stung Treng, Stung Treng, Cambodia;13.73665,106.06614;;;"Stung Treng District, Stung Treng Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
43;Administrative region;Sambo District, Kratie Province, Cambodia;12.77414,105.96492;;;Sambo District, Kratie Province
46;Exact location;Treng Tra Yoeng Commune,Phnom Sruoch, Cambodia;11.31239,104.23959;;;Treng Tra Yoeng Commune, Phnom Srouch District, Kampong Speu Province
48;Exact location;Se San District, Stung Treng, Cambodia;13.57647,105.96999;;;Se San District, Stung Treng Province
49;Administrative region;Phnum Sruoch, Cambodia;13.0075,106.15306;;;"Phnom Srouch and Oral Districts (Phnom Aural), Kampong Speu Province
Coordinates from deleted LO deal duplicate:
11.548468749612711
104.13124145528366"
49;Administrative region;Phnom Aural, Cambodia;12.0325,104.17083;;;Phnom Srouch and Oral Districts (Phnom Aural), Kampong Speu Province
50;Exact location;Sambour District, Cambodia;12.77423,105.96491;;;Sambo District, Kratie Province
51;Administrative region;Kratié, Cambodia;12.86063,105.96999;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
13.115313130146212
106.26663833731335"
55;Administrative region;Santuk, Cambodia;12.63251,105.31312;;;Santuk District, Kampong Thom Province
57;Coordinates;Andong Meas, Ratanak Kiri, Cambodia;13.87552,107.20948;;;Andong Meas District, Ratanakiri Province
67;Coordinates;Botum Sakor, Cambodia;11.21677,103.5987;;;Botomsakor District, Koh Kong Province
68;Coordinates;Srae Ambel, Cambodia;11.25416,103.72649;;;Sre Ambil District, Koh Kong Province
70;Administrative region;Mondol Kiri, Cambodia;12.78794,107.10119;;;"Chong Plas Commune, Keoseyma District and Pu Chry Commune, Pechreada District,
Mondulkiri Province"
73;Administrative region;Oddar Meancheay, Cambodia;14.17172,103.63627;;;"Kreal commune, Samrong district,
Oddar Meanchey province.
Coordinates from deleted LO deal duplicate:
14.147882852717455
103.60656261444531"
75;Exact location;Krong Kracheh, Cambodia;12.48969,106.02875;;;"Kratie District, Kratie Province
Coordinates from deleted LO deal duplicate:
12.69171713532672
106.22520760116126"
77;Administrative region;Ratanak Kiri, Cambodia;13.85766,107.10119;;;"Vensay District, Ratanakiri Province
Coordinates from the deleted duplicate LO deal
13.8400329681
106.852863824"
79;Coordinates;Mondol Kiri, Cambodia;13.05338,106.62018;;;"Koh Nhek District, Modulkiri Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
82;Exact location;Andong Meas District, Ratanak Kiri, Cambodia;13.85766,107.10119;;;Andong Meas District, Rattanakiri Province
83;Coordinates;Snoul District, Kratie Province;12.33344,106.34502;;;"Snoul District, Kratie Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions

Uploaded cartodb_id number 5."
95;Administrative region;Chong Kal, Cambodia;13.95256,103.57117;;;"Pong Ro and Chongkal Communes, Chongkal District, Uddor Meanchey Province
Coordinates from deleted LO deal duplicate:
14.061643067977027
103.69273662567169"
100;Administrative region;Kampong Speu​, Cambodia;11.61551,104.37919;;;Oral district
