Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
8;;;;99;long-term land lease of upto 99 years
11;;2005-04-26;;70;On 12 May 2006, The Cambodian Ministry approved on the submitted master plan
13;;2009-12-08;;70;
17;;2008-01-24;;70;
20;;2009-09-25;;50;"Active Economic Land Concession by Ministry of Agriculture, Forestry and Fisheries

50 year-term plan as per https://opendevelopmentcambodia.net/profiles/economic-land-concessions?feature_id=elc_gdc_116"
22;;;;99;
23;;2001-04-20;2071-04-20;70;
24;;1999-11-15;;70;On active status by Economic Land Concession by th eMinistry of Agriculture, Forestry and Fisheries.
25;;1998-07-23;2068-07-23;70;According to this article : https://cambodia.ohchr.org/~cambodiaohchr/sites/default/files/Report%20on%20land%20concessions%20for%20economic%20purposes%20in%20Cambodia,%20human%20rights%20perspective%202004.pdf, the company' s contract will expire on July 23, 2068.
27;;2000-10-26;;70;
29;;2009-09-25;;70;Active status in Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries
30;;2000-09-26;;;
33;;2008-05-27;;;
35;;2008-12-08;;70;
36;;2009-03-18;;70;
39;;2009-10-12;;70;
40;;;;99;
42;;2005-05-18;;50;Active status of Economic Land Concession by the Ministry of Agriculture, Forestry and Fisheries in 2012
43;;2006-03-15;;70;
44;;1999-12-21;;70;"MAFF shows 70 year contract duration but one source shows 50 year contract

In 2010, no activity recorded
In 2012, On active Economic Land Concession by MAFF"
46;;2004-03-05;2074-03-05;70;
48;;2006-01-23;;70;
49;;2009-12-31;;70;
50;;2006-08-11;;70;
51;;2006-08-11;;70;
53;;1998-11-25;;70;Last June of 2012, the Agriculture Ministry gave the company the rights of 18,000 hectares of land for 70 years.
55;;2006-03-17;;70;
56;;1999-07-29;;70;
57;;2009-07-31;;70;
67;;2006-08-02;2076;70;
68;;2006-08-02;;90;according to the Ministry of Agriculture, Forestry and Fisheries, the contract has a duration of 70 years - the contract itself, however, stipulates 90 years
70;;2008-12-08;;70;
72;;;2016-04;8;Contract ended
73;;2008-01-24;;70;
75;;2009-07-31;;70;
77;;2009-09-25;;70;
79;;2009-09-25;;70;
81;;1996-01-09;;70;
82;;2006-04-04;;70;
83;;2009-10-22;;70;
95;;2008-01-24;;70;
100;;;;70;
101;;2006-01-24;;70;
105;;2007-07-18;;70;
106;;2006-09-18;;70;MAFF granted for 70-year licenses to Tay Nam and Tay Nam BPM in July 2006, to invest in plantations of cassava, rubber, cashew and the construction of a processing factory.
108;;2009-09-25;;70;
109;;2007-11-12;;70;
112;;2009-04-03;;70;
117;;2005-12-30;;70;
129;;2006-05-04;;70;"This agreement lasts seventy years starting from the signing date on-wards. The
management rights of this concession of land will be granted after this agreement takes
effect in accordance with the law in force. The renewal of the contract can only be made once the government granted an approval to the company."
130;;2008-07-04;;70;
135;;;;50;
140;;;;2;Izin Lokasi (Location Permit)
147;;2006-05-15;2036-01-01;30;
148;;;;30;2007-2037
156;;;;50;
188;100/2006;2006-02-25;;;PT DWK obtained Plantation Operational Licence/IUP through the Regent of Kapuas, No.100/2006, dated 25th February 2006.
188;377;2006-09-09;;;PT Dwie Warna Karya (PT DWK) has obtained a licence area for oil palm plantations covering an area of 12,500 ha through the Location Permit No. 377 dated 9th September 2006 and extended with No. 772 dated 31st August 2007 located in Kapuas Hulu District, Kapuas Regency, Indonesia.
188;772;2007-08-31;;;
202;;;;10;
212;;2008-12-30;;;
217;;;;75;
227;976;2011-09-27;;3;
234;;2008-05-22;;35;
251;;2006;2046;40;"""[I]n 2006 the Kaosouyaotiang Viet-Lao Company (commonly referred to as the
Yao Tiang Company), a partnership of three Vietnamese companies, signed a 40-year agreement 
12 with the GoL to develop another 10,000 hectares of rubber plantations in Bachieng District, at
the cost of over US$35 million. "" (Champamay, 2008 as cited in Baird, 2009)"
253;;2006-02-16;2036;30;This contract can be extended by another 20 years if approved by the counterparty.
261;;2006-10-03;;50;concession is for 50 years
268;;;;40;
272;;;;50;
279;;2004-06-21;;50;
297;;2008-09;;30;Last September 2008, the Mou was signed granted to the company for 30 years duration of the project.
307;;;;99;
311;;2011-06-15;;;
355;;;;10;
360;;;;;The land is being acquired on concessions, 20-30 years lease and on direct purchase basis.
412;MPSA No. 054-96-IX;1996-10-23;2021-10-23;25;
426;;2007-01-15;;50;"The contract does not specify the amount to be invested; it’s not clear if this is a direct investment or a loan. It states that Fuhua will establish a credit platform company, which implies that participants in this project would be borrowing from Fuhua.

The 2007 Memorandum of Understanding forged among several Philippine government agencies, including the DA,  with Jilin province, China Development Bank and Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.   was suspended when a nongovernment organization questioned its legality before the Supreme Court.

The government agreed to lease land to Chinese agribusinesses in 18 different sites across the Philippines. In the landmark project, the Department of Agriculture (DA), Agrarian Reform (DAR), and Environment and Natural Resources (DENR), signed an agreement with the People's Government of Jilin, China Development Bank, and Fuhua Agricultural Science and Technology Development Co. To acquire a 50-year lease for 1 million hectares of land [52]. There were also agreements with other Chinese agricultural SOEs, private companies, and investors."
427;;2008;;25;
439;;;;4;
443;;;;25;
450;MPSA No. 266-2008-XIIISMR;2008-07-28;2033-07-28;25;
470;;;;10;
478;FTAA-001;1994-06-20;2019-06-20;25;"Renewal for FTAA is still pending as on 2020.

[2021] FTAA is already finalized as per Mines and Geosciences Bureau and pending approval from the Secretary of DENR and the President."
493;;;;;The Seaweed farm is a joint venture agreement between the local government unit and the investor
519;;;;49;
542;;;;35;
544;;;;50;*Granted 50-years concessions in 6 provinces for a total of 349,000 ha of forest land to grow acacia and eucalyptus for their wood mills, that produce wood chips for export.
548;;2007-11-01;;17;
556;;2007-01-07;;;
614;;;;49;
618;;;;;Government of Punjab will provide land to establish the citrus nursery and support the establishment of greenhouses and screen-houses, Pepsi will operate the nursery.
644;;;;20;
661;;;;25;
663;;2008-03-20;;;
708;;;;4;
719;;;;20;
724;;;;5;
768;;;;20;
778;;;;25;
799;;;;30;
805;;2006-10-20;;;Contract for exploration in SIRIRI oil block. The company could exploit the field after 6 years until it is not economically anymore.
809;FJF-081;2004-12-28;;29;Effective contract, currently suspended. Size: 2000 has
809;FJF-082;2004-12-28;;29;Effective contract, but not under execution. Size: 2000 has
809;FJF-085;2005-01-28;;29;Effective contract, but not under execution. Size: 1500 has
809;FJF-086;2005-01-28;;29;Effective contract, but not under execution. Size: 1500 has
809;FAE-081;2004-12-28;;29;Effective contract, but not under execution. Size: 1002 has
809;H6196;2005-02-04;;29;Effective contract under explotation. Size: 2003 has
809;H6197;2005-02-04;;29;Effective contract under explotation. Size: 2000has
821;;;;30;
822;;2012-07-26;;;
847;;;;30;
849;;;;90;
851;;;;25;
854;;;;30;
865;;;;25;
883;;2011-03-25;;;
976;;;;99;
1015;;;;49;
1018;;2009-03-18;;99;
1099;;;;50;
1101;;;;50;
1103;;;;50;
1113;;2003;;99;20-year management contract signed with Sucrerie de Complant du Benin (SUCOBE)
1141;;2006;;99;In 2006, the company signed a new 99-year long-term contract with the Cameroonian St
1151;;;2060;55;"The 2019 SOCFINAF annual report states a 55 year lease from 2005.
The contract  was signed by government in 2000 with SOCAPALM."
1159;;2013-11;;99;they had 2 contracts emphyteutic lease (99-year lease) contract and 3-year provisional concession in the Presidential decrees of Dec 2013
1160;;;;25;
1165;;2013;2038;25;Eco-Oil Energie SA Malaysia received a 25-year concession over 50,000 hectares. Renewable contract.
1166;Décret n° 2011-552 du 17 août 2011;2011-08-17;;25;Company states a total of 60 year lease-- 30 years, with additional 30 years renewable. The contract signed in December 2010 granted rights over 30 year period, this was reduced to 25 years renewable lease by a presidential decree in August 2011.
1167;;2013;2043;30;
1172;;2008-07;;25;
1173;;2003;;30;Another data resource claims the land was acquired in 2007.
1184;;;;20;
1186;;;;30;
1189;;;;45;
1194;;;;99;
1196;;2007;2057;50;
1201;;;;50;
1202;;;;25;
1204;;;;45;
1205;;2010-10-25;;50;
1208;;;;50;
1215;;;;45;
1217;;;;25;
1218;;2010-10-01;2035-09-30;25;Contract expires on 31:09:2035
1221;;2010-04-05;2035-04-01;25;
1228;;;;50;
1230;;;;70;
1242;;2012-01-09;2037-01-09;25;
1244;;2010-09-29;;50;
1252;;;;50;
1274;;2012-08-24;;25;
1278;;2007-12-18;;;
1285;;;;30;
1302;;2010-08-01;;25;
1303;;2010-04-20;;50;Another source states duration is 25 years.
1304;;2010-03-01;;50;
1306;;2010-11-25;;40;
1308;;2009-12-25;;50;
1320;;;;50;
1321;;;;;Leased from the government.
1322;;2011-11-04;;50;
1323;;2008-01-01;;50;
1324;;2009;;50;
1334;;;;50;
1337;;;;50;
1346;;1976-09-23;2026-09-22;50;Lease was signed on December 12, 1983 valid for 50 years starting from 23 September 1976 to 22 September 2026.
1356;;2018;;25;
1358;;2010-09-16;;99;
1359;;;;99;99 year lease for 8015ha with option to extend to 98400ha.
1361;;;;20;
1362;;;;20;
1363;;;;45;
1376;;;;99;
1391;;2008-03-31;;33;
1392;FMC-001;2008-10-06;2033-10-05;25;The contract was signed 6 October 2008 and approved 27-05-2009. Another source states contract expires 2024/05/26.
1393;;2008-08-06;2057;40;
1395;;2008-05-22;2057;50;
1396;;2010-07-01;;65;The contract is for 65 years until 2075, with an opportunity to extend the contract for a further 33 years until 2108.
1397;;;;20;
1412;;;;10;
1414;;;;50;
1419;;;;30;
1428;;;;25;
1454;;;;30;
1460;;;;5;
1464;;;;50;
1467;;;;50;
1474;;;;50;
1478;;;;30;
1481;;2006-11-13;;;
1488;;;;5;
1498;;;;50;
1508;;2007;2047;40;
1545;;2011;;49;
1570;;;;50;
1572;;;;50;
1586;;;;50;
1634;;;;50;
1652;;;;50;
1669;;2008-12-17;;25;
1683;;2005;;25;The land was acquired on the basis of a renewable 25-year lease
1713;;;;50;
1715;;;;49;
1721;;;;40;
1723;;;;48;
1725;;2012-08-01;2021-08-01;;The Company obtained in principle ratification of research certificate to prove ownership of benefits from that land for the Company to establish agricultural project on 01/08/2012G, and the initial contract period for the project will be valid for three years, extendable for further seven years.
1732;;;;50;
1738;;;;70;
1742;;;;25;Concord Agriculture signed the lease directly with the Unity State government. The lease also offers “full irrigation rights”.
1752;;;;32;
1753;;;;32;
1754;;;;99;
1755;;;;32;
1756;;;;30;
1757;;2008-09-01;;49;
1760;;;;32;
1766;;;;99;
1782;;;;12;
1794;;;;10;
1798;;2010-04-09;;50;"The land lease contract of Sunbird Bioenergy Sierra Leone needs to be renegotiated every seven years as required by the laws of Sierra Leone in Section 5 of the Provinces Land Act, Cap 122.
Addax Bioenergy in Sierra Leone (ABSL) concluded three land lease agreements for 50 years with the chiefdom councils of Bombali Sebora, Makari Gbanti and Malal Mara in April 2010 and received a concession of 58,000 acres of land"
1806;ML01/2017;2017-03-29;2042-03-28;25;"Previously ML02/09 held by London Mining.
 It shall then be renewable for further periods of fifteen (15) years upon an application made in writing by SL MINING to the Minister at least one year before the expiration of the original term, and each 15 year term, as applicable in accordance with Section 112 of the Minerals Act."
1812;;2009;2059;50;
1846;;;;99;
1851;;;;99;"Idete (Farm 900+901) issued 17 April 2009
Chogo (Farm 854) and Mapanda (Farm 837) issued 8 March 2004
Title deeds for the other areas are expected in financial year 2019/20"
1854;;;;98;
1862;;;;99;
1872;;2008-07-01;;99;
1889;;;;99;
1895;;2011-10-19;;99;
1902;;2011-10-01;;99;
1910;;;;10;
1963;;;;99;
1969;;;;99;The initial project contract (FACE Foundation, 1992) stipulated that the project should reforest the 25,000 hectares of MENP that had been degraded throughout the tumultuous post-independence period – the land from which communities would soon be dispossessed.
1976;;;;99;
1978;;;;30;
1984;;;;3;
1999;;;;25;
2006;;;;25;
2009;;;;20;
2010;;;;20;
2017;;;;99;
2050;;;;99;
2053;;;;99;
2198;;;;30;Another article states 50 years.
2199;;;;55;
2237;;2008-06-09;;25;Renewable for another 25 years
2241;;;;50;In 2 periods of 25 years
2249;;;;20;
2253;;;;99;
2254;;;;99;
2271;;;;50;
2283;;;;25;
2293;;;;30;
2309;;2010;;99;
2337;;;;30;renewable lease
2342;;;;30;renewable
2362;;;;98;
2363;;;;99;
2371;;2011-03-01;;50;Four concessions: 2011/2012/2013/2014. The initial lease is renewable for a term of 25 years
2385;;2009-08;;25;authorized for a period of 25 (twenty-five) years renewable for equal periods 200of 10 (ten) years under conditions to be set at each renewal period.
2398;;2005-10-01;;99;
2401;;;;99;
3003;;;;49;
3008;;2003-04;2033-04;30;
3020;;;;50;
3022;;;;50;ProCana was looking at a 50 year lease. MAI had a 50 year DUATs.
3029;;;;49;
3030;;;;5;
3041;;;;50;
3053;;;;9;
3100;;1986-12-18;2085-12-17;99;Main estate
3100;;1993-11-08;2062-11-07;69;Extension 1 for oil palm
3100;;1999-12-07;2098-12-06;99;Extension 1 for rubber
3103;FJT-131;2006-12-05;;29;"This concession area entails a section of the Reserva Forestal Protectora Nacional ""Cuenca Ala del Río Mocoa"" and also with the Indigenous resguards of Kaméntsábiya de Sibundoy – Etnia Kamentsa, Inga de Condagua – Etnia Inga and Villa María de Anamú – Etnia Yanacona, all recognized by the government.

Source:

Catastro Minero: http://www.cmc.gov.co:8080/CmcFrontEnd/consulta/index.cmc"
3103;FJT-132;2007-04-19;;29;"Source:

Catastro Minero: http://www.cmc.gov.co:8080/CmcFrontEnd/consulta/index.cmc"
3103;JAP-16141;2009-11-20;;29;"Source:

Catastro Minero: http://www.cmc.gov.co:8080/CmcFrontEnd/consulta/index.cmc"
3103;FJT-141;2006-11-28;;29;"Source:

Catastro Minero: http://www.cmc.gov.co:8080/CmcFrontEnd/consulta/index.cmc"
3103;FJT-142;2007-04-19;;29;"Source:

Catastro Minero: http://www.cmc.gov.co:8080/CmcFrontEnd/consulta/index.cmc"
3103;JAP-16181;;;29;This concession permit has not yet been awarded.
3105;3452;1990-08-14;;36;"Size: 5244.85 hectares. For this and almost all the coming contracts, look at the search tool of the Catastro Minero in the Agencia Nacional Minera. This land title is the where the main camp is located. Known as Angostura

http://www.cmc.gov.co:8080/CmcFrontEnd/consulta/index.cmc"
3105;101-68;2000-04-19;;19;Size: 5.67 hectares
3105;127-68;2000-04-19;;19;Size: 19. Phase: Extraction
3105;6979;1990-07-17;;35;Size: 40 hectares. Phase: exploration, construction and extraction
3105;22346;1998-09-29;;30;Size: 1184.11 hectares. Phase: Exploration, construction and extraction
3105;300-68;;;;This contract is not found in the Catastro Minero, although it is mentioned by the company in Source 2
3105;13921;1991-06-18;;22;Size: 78.62 hectares. Phase: Extraction
3105;AJ5-142;2006-10-26;;11;Size: 4061 hectares. Phase: Ended
3105;AJ5-143;2006-03-21;;10;Size: 3890 hectares. Phase: Ended
3105;AJ5-144;2007-11-22;;8;Size: 4336 hectares. Phase: Ended
3105;EJ1-159;2006-06-10;;11;Size: 814.94 hectares. Phase: Ended
3105;EJ1-163;2007-01-18;;10;SIze: 8424.65 hectares. Phase: Ended
3105;EJ1-164;2007-03-15;;11;Size: 1439.34 hectares. Phase: Ended
3105;343-54;;;;Contract does not appear in the Catastro Minero, although it is mentioned in source 2 by the company
3107;;;;;See the Appendix of Source 14 for more details on the land transactions
3128;;;;50;
3129;;2006-01-31;;;
3132;;2004-10-01;;;
3161;;;;99;
3164;;;;99;
3169;;2012-10-01;;70;
3170;;;;30;
3175;;;;25;
3176;;1985-01-01;2083-01-01;99;"""MBE landholdings are mainly State Agricultural Leases that were established by the former owners of MBE...Ownership has been legally transferred to MBE. These state leases expire in 2083. MBE has 99 lease-lease back (LLB) agreements with local landowners for approximately 6,000 ha of oil palm. """
3179;;2007-02-01;2047-02-01;40;
3195;;;;14;
3200;;;;3;
3214;;2009;2034;25;Isangi Logging Concessions No. 091 and No. 034. Also known as 007/11 and 008/11.
3229;;;;90;
3251;;2011-12-21;;;
3281;5460;2007-11-21;;37;
3284;1693;2009-04-16;;37;
3285;;2013-11-13;;;
3292;406;2005-12-13;;37;
3296;;2006-12-12;;;
3297;5681;2006-05-16;;;
3341;;;;50;
3342;;;;50;
3353;23;;;;Special Mining Lease No 23 measuring 1,661 hectares is located within the Kwale Prospecting License PL/2018/0119
3361;;;;99;
3370;395/2009;2009-11-20;;;Location  Permit:  Licence  area  for  oil  palm plantations covering an area of 17,500 ha through the Regent Decree of Sanggau No: 395, 2009.Plantation  Operational  License (IUP)  through  the Regent  Decree  of  Sanggau  No.277  dated  7th  July 2010
3378;;;;50;
3379;;2005-07-26;;50;
3380;;;;50;
3381;;;;50;
3382;;;;50;
3389;;2008;;50;Additional concessions signed in 2010 and 2012. The lease is renewable.
3398;;;;50;Two concessions with two different chiefs.
3399;;;;50;
3402;;;;;In 2014, Irregularities of the company PT Berkat Nabati Sawit (PT BNS) were - No NPP published, no proper review of time-bound plan by Certification Body, land clearing wit hout Plant at ion Business Permit / Ijin Usaha Perkebunan (IUP) and Locat ion Permit / Ijin Lokasi in 2009, fraudulent statement on activity on the ground issued to Provincial authority in 2009, no concession boundary filed in ACOP 2013-2014, encroachment in Manis Mata Production Forest (present), local media report report alleges encroachment outside IUP boundary (September 2014).
3403;;;;50;
3404;;2009-05-18;;;Date of allocation by the Ghana Forestry Commission for the first section of 5,002ha
3404;;2012-11-21;;;Allocation date of Forestry Commission for second concession of 1,536ha
3407;;2010-04-09;;70;
3413;;2010-05-05;;70;
3414;;2010-01-29;;70;
3419;;2010-05-05;;70;
3420;;2010-01-29;;70;
3421;;2011-06-15;;;
3422;;2011-06-15;;;
3424;;2011-12-29;;50;2x21 years plus 7 years.
3425;;2011-09-30;;25;
3427;;;;49;
