Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
8;Country;Cambodia;12.56568,104.99096;;;
11;Exact location;Ou Ya Dav, Cambodia;13.66963,107.34645;;;"Ratanakiri Province, Oyadao District

Address of Local Office: # 21 B, Street 456, Sangkat Toul Tumpung, Khan Chamkarmorn, Phnom Penh, Cambodia"
13;Exact location;Chong Plas Commune, Koa Seimar District, Mondulkiri province;12.78794,107.10119;;;"Location: Chong Plas Commune, Keoseyma District and Pu Chry Commune, Pechreada District, Mondulkiri Province. Coordinates: A:665075-1413404, B:674350-1420002, C:676920-1420002,
D:676920-1413451, E:673867-1407262, F:665075-1407262."
15;Country;Cambodia;12.56568,104.99096;;;No clear location
17;Exact location;Kreal commune, Samrong district,Oddar Meancheay, Cambodia;14.17172,103.63627;;;"Kreal commune, Samrong district,
Oddar Meanchey province."
19;Approximate location;Memot, Cambodia;11.8302,106.17868;;;Kohthmor Village, Changkorm 1 Village, and Changkorm Kandal  Village in Tonlung commune, Memoth District, Kampong Cham Province
20;Coordinates;Santuk, Cambodia;12.73169,105.10388;;;"Location: Santuk District, Kampong Thom Province. Coordinates: A:512216-1410027, A1:512214-1410909, B:518840-1410000, B1:518832-1410903,
B2:517450-1410000, B3:516000-1407000, B4:518832-1407000, C:518812-1400344,
D:502000-1400344, E:502000-1403183, F:510202-1403183, G:510202-1408305.
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
22;Administrative region;Sihanoukville, Kambodscha;10.71624,103.77526;;;Chunks of beach front near Ream. (Koh Rung Sangleum)
23;Coordinates;Phnom Sruoch, Cambodia;11.17647,104.29334;;;"Phnom Srouch, Kampong Speu Province 
Coordinates: A:414000-1231000, B:414500-1233000, C:416200-1233000, D:415800-1232100, E:416100-1232100, F:416900-1233000, G:417100-1233000, H:417800-1234500,
I:417800-1235000, J:418000-1235000, K:418000-1237000, L:419500-1238000,
M:420900-1238000, N:421100-1237900, O:4215000-1238100 P:421200-1238400,
Q:423100-1240000, R:424000-1240000, S:425100-1238500, T:425100- 1238100, U:425200-1238100, V:425200-1231500, W:425000-1231000; 

Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
24;Administrative region;Phnom Sruoch, Cambodia;11.31239,104.23959;;;Phnom Srouch, Kampong Speu Province
25;Administrative region;Kampong Speu​, Cambodia;11.61551,104.37919;;;"Oil palm areas are primarily in three provinces of mountainous relief along the  coastal  zone;  Kampong  Speu,  Koh  Kong,  and  Preah  Sihanouk
[source: https://www.forestpeoples.org/sites/fpp/files/publication/2011/11/chapter-2-palm-oil-development-cambodia.pdf page 77]"
27;Exact location;Sambo District, Cambodia;12.77423,105.96491;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
12.913430850463845
106.07072545576293"
29;Approximate location;Sambo district, Kratié, Cambodia;12.86063,105.96999;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
13.148070145116025
106.09233042249603"
30;Administrative region;Phnom Sruoch, Cambodia;11.31239,104.23959;;;Phnom Srouch, Kompou Speu
33;Coordinates;Kratié, Cambodia;12.00031,106.4248;;;"Kratie province, Snoul district, Meancheay, Krobai Cholroung, Kbal Lumpov and
Dey Krahom; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
35;Exact location;Sambo District, Kratié, Cambodia;12.86063,105.96999;;;Location: Srechis commune, Sambo district, Kratie province. Coordinates: A:663513-1428092, B:663508-1418000, C:672000-1418000, D:672000-1419000, E:672628-1419000, F:673327-1428092.
36;Administrative region;Pu Chrey, Cambodia;12.68778,107.21677;;;"Pu Chrey, Krang Teh and Sre Ampum Communes, Pechreada District, Mondulkiri Province

Coordinates: A:745957-1400710, B:752081-1400710, C:752081-1396339, D:750000-1392000,
E:745202-1392000, F:743994-1392605, G:744000-1396000, H:745000-1396000,
I:745000-1397002, J:745956-1398836"
36;Administrative region;Khum Krang Teh, Cambodia;12.72146,107.4322;;;
36;Administrative region;Srae Ampum, Pech Chenda, Cambodia;12.70546,107.0067;;;
39;Administrative region;Phnom Sruoch, Samrong Oral Districts, Cambodia;11.32608,104.23478;;;"Phnom Srouch, Samrong and Oral Districts, Kampong Speu Province
Coordinates from deleted LO deal duplicate:
11.575272107170838
104.23685859627895"
39;Approximate location;Samrong, Cambodia;11.28629,104.72366;;;
40;Administrative region;Koh Russei, Bamboo Island, Cambodia;10.49615,103.5596;;;Koh Russei and Koh Ta Kiev
40;Administrative region;Koh Ta Kiev, Cambodia;10.48772,103.59576;;;
42;Coordinates;Stung Treng, Stung Treng, Cambodia;13.73665,106.06614;;;"Stung Treng District, Stung Treng Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
43;Administrative region;Sambo District, Kratie Province, Cambodia;12.77414,105.96492;;;Sambo District, Kratie Province
44;Exact location;Oyadao District, Ratanak Kiri, Cambodia;13.85766,107.10119;;;Oyadao District, Ratanakiri Province
46;Exact location;Treng Tra Yoeng Commune,Phnom Sruoch, Cambodia;11.31239,104.23959;;;Treng Tra Yoeng Commune, Phnom Srouch District, Kampong Speu Province
48;Exact location;Se San District, Stung Treng, Cambodia;13.57647,105.96999;;;Se San District, Stung Treng Province
